Cargo	Agrupacion	Seccion	Votos
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 14	85769
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 14	24137
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 14	7188
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 14	536
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 14	250
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 14	2684
DIPUTADOS PROVINCIALES		Comuna 14	4608
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 13	1095
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 13	436
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 13	517
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 13	301
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 13	19721
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 13	93009
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 13	24587
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 13	8218
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 13	578
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 13	232
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 13	3271
DIPUTADOS PROVINCIALES		Comuna 13	5314
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 12	1095
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 12	583
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 12	615
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 12	372
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 12	18484
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 12	69274
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 12	31087
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 12	8682
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 12	707
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 12	319
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 12	3873
DIPUTADOS PROVINCIALES		Comuna 12	5779
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 11	971
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 11	534
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 11	533
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 11	328
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 11	17758
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 11	61114
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 11	29693
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 11	7638
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 11	684
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 11	250
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 11	4161
DIPUTADOS PROVINCIALES		Comuna 11	5525
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 10	842
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 10	481
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 10	517
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 10	312
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 10	16136
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 10	49143
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 10	28494
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 10	7163
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 10	604
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 10	265
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 10	3452
DIPUTADOS PROVINCIALES		Comuna 10	4928
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 9	796
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 9	586
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 9	477
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 9	359
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 9	15651
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 9	44562
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 9	32338
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 9	6663
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 9	718
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 9	227
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 9	2705
DIPUTADOS PROVINCIALES		Comuna 9	4917
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 8	715
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 8	814
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 8	778
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 8	391
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 8	14459
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 8	35211
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 8	38430
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 8	7011
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 8	582
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 8	264
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 8	1996
DIPUTADOS PROVINCIALES		Comuna 8	5665
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 7	842
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 7	895
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 7	616
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 7	427
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 7	17957
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 7	55003
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 7	35421
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 7	8862
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 7	677
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 7	285
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 7	3462
DIPUTADOS PROVINCIALES		Comuna 7	5731
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 6	799
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 6	414
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 6	460
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 6	279
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 6	14254
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 6	58452
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 6	26947
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 6	7852
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 6	518
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 6	235
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 6	3797
